"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
13,CA-2017-114412,4/15/2017,4/20/2017,"Standard Class",AA-10480,"Andrew Allen",Consumer,"United States",Concord,"North Carolina",28027,South,OFF-PA-10002365,"Office Supplies",Paper,"Xerox 1967",15.552,3,0.2,5.4432
24,US-2017-156909,7/16/2017,7/18/2017,"Second Class",SF-20065,"Sandra Flanagan",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
35,CA-2017-107727,10/19/2017,10/23/2017,"Second Class",MA-17560,"Matt Abelman","Home Office","United States",Houston,Texas,77095,Central,OFF-PA-10000249,"Office Supplies",Paper,"Easy-staple paper",29.472,3,0.2,9.9468
42,CA-2017-120999,9/10/2017,9/15/2017,"Standard Class",LC-16930,"Linda Cazamias",Corporate,"United States",Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,"Panasonic Kx-TS550",147.168,4,0.2,16.5564
44,CA-2017-139619,9/19/2017,9/23/2017,"Standard Class",ES-14080,"Erin Smith",Corporate,"United States",Melbourne,Florida,32935,South,OFF-ST-10003282,"Office Supplies",Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
72,CA-2017-114440,9/14/2017,9/17/2017,"Second Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Jackson,Michigan,49201,Central,OFF-PA-10004675,"Office Supplies",Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"""",19.05,3,0,8.763
76,US-2017-118038,12/9/2017,12/11/2017,"First Class",KB-16600,"Ken Brennan",Corporate,"United States",Houston,Texas,77041,Central,OFF-BI-10004182,"Office Supplies",Binders,"Economy Binders",1.248,3,0.8,-1.9344
78,US-2017-118038,12/9/2017,12/11/2017,"First Class",KB-16600,"Ken Brennan",Corporate,"United States",Houston,Texas,77041,Central,OFF-ST-10000615,"Office Supplies",Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
85,US-2017-119662,11/13/2017,11/16/2017,"First Class",CS-12400,"Christopher Schild","Home Office","United States",Chicago,Illinois,60623,Central,OFF-ST-10003656,"Office Supplies",Storage,"Safco Industrial Wire Shelving",230.376,3,0.2,-48.9549
86,CA-2017-140088,5/28/2017,5/30/2017,"Second Class",PO-18865,"Patrick O'Donnell",Consumer,"United States",Columbia,"South Carolina",29203,South,FUR-CH-10000863,Furniture,Chairs,"Novimex Swivel Fabric Task Chair",301.96,2,0,33.2156
87,CA-2017-155558,10/26/2017,11/2/2017,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,0,6.7966
88,CA-2017-155558,10/26/2017,11/2/2017,"Standard Class",PG-18895,"Paul Gonzalez",Consumer,"United States",Rochester,Minnesota,55901,Central,OFF-LA-10000134,"Office Supplies",Labels,"Avery 511",6.16,2,0,2.9568
96,US-2017-109484,11/6/2017,11/12/2017,"Standard Class",RB-19705,"Roger Barcio","Home Office","United States",Portland,Oregon,97206,West,OFF-BI-10004738,"Office Supplies",Binders,"Flexible Leather- Look Classic Collection Ring Binder",5.682,1,0.7,-3.788
97,CA-2017-161018,11/9/2017,11/11/2017,"Second Class",PN-18775,"Parhena Norris","Home Office","United States","New York City","New York",10009,East,FUR-FU-10000629,Furniture,Furnishings,"9-3/4 Diameter Round Wall Clock",96.53,7,0,40.5426
98,CA-2017-157833,6/17/2017,6/20/2017,"First Class",KD-16345,"Katherine Ducich",Consumer,"United States","San Francisco",California,94122,West,OFF-BI-10001721,"Office Supplies",Binders,"Trimflex Flexible Post Binders",51.312,3,0.2,17.9592
107,CA-2017-119004,11/23/2017,11/28/2017,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,TEC-AC-10003499,Technology,Accessories,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.112,8,0.2,17.6016
108,CA-2017-119004,11/23/2017,11/28/2017,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,TEC-PH-10002844,Technology,Phones,"Speck Products Candyshell Flip Case",27.992,1,0.2,2.0994
109,CA-2017-119004,11/23/2017,11/28/2017,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,OFF-AR-10000390,"Office Supplies",Art,"Newell Chalk Holder",3.304,1,0.2,1.0738
111,CA-2017-146780,12/25/2017,12/30/2017,"Standard Class",CV-12805,"Cynthia Voltz",Corporate,"United States","New York City","New York",10035,East,FUR-FU-10001934,Furniture,Furnishings,"Magnifier Swing Arm Lamp",41.96,2,0,10.9096
127,US-2017-107272,11/5/2017,11/12/2017,"Standard Class",TS-21610,"Troy Staebel",Consumer,"United States",Phoenix,Arizona,85023,West,OFF-BI-10003274,"Office Supplies",Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
128,US-2017-107272,11/5/2017,11/12/2017,"Standard Class",TS-21610,"Troy Staebel",Consumer,"United States",Phoenix,Arizona,85023,West,OFF-ST-10002974,"Office Supplies",Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
131,US-2017-164147,2/2/2017,2/5/2017,"First Class",DW-13585,"Dorothy Wardle",Corporate,"United States",Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",59.97,5,0.4,-11.994
132,US-2017-164147,2/2/2017,2/5/2017,"First Class",DW-13585,"Dorothy Wardle",Corporate,"United States",Columbus,Ohio,43229,East,OFF-PA-10002377,"Office Supplies",Paper,"Xerox 1916",78.304,2,0.2,29.364
133,US-2017-164147,2/2/2017,2/5/2017,"First Class",DW-13585,"Dorothy Wardle",Corporate,"United States",Columbus,Ohio,43229,East,OFF-FA-10002780,"Office Supplies",Fasteners,Staples,21.456,9,0.2,6.9732
142,CA-2017-106180,9/18/2017,9/23/2017,"Standard Class",SH-19975,"Sally Hughsby",Corporate,"United States","San Francisco",California,94122,West,OFF-AR-10000940,"Office Supplies",Art,"Newell 343",8.82,3,0,2.3814
143,CA-2017-106180,9/18/2017,9/23/2017,"Standard Class",SH-19975,"Sally Hughsby",Corporate,"United States","San Francisco",California,94122,West,OFF-EN-10004030,"Office Supplies",Envelopes,"Convenience Packs of Business Envelopes",10.86,3,0,5.1042
144,CA-2017-106180,9/18/2017,9/23/2017,"Standard Class",SH-19975,"Sally Hughsby",Corporate,"United States","San Francisco",California,94122,West,OFF-PA-10004327,"Office Supplies",Paper,"Xerox 1911",143.7,3,0,68.976
145,CA-2017-155376,12/22/2017,12/27/2017,"Standard Class",SG-20080,"Sandra Glassco",Consumer,"United States",Independence,Missouri,64055,Central,OFF-AP-10001058,"Office Supplies",Appliances,"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators",839.43,3,0,218.2518
177,US-2017-152366,4/21/2017,4/25/2017,"Second Class",SJ-20500,"Shirley Jackson",Consumer,"United States",Houston,Texas,77036,Central,OFF-AP-10002684,"Office Supplies",Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16
198,CA-2017-107720,11/6/2017,11/13/2017,"Standard Class",VM-21685,"Valerie Mitchum","Home Office","United States",Westfield,"New Jersey",7090,East,OFF-ST-10001414,"Office Supplies",Storage,"Decoflex Hanging Personal Folder File",46.26,3,0,12.0276
200,US-2017-124303,7/6/2017,7/13/2017,"Standard Class",FH-14365,"Fred Hopkins",Corporate,"United States",Philadelphia,Pennsylvania,19120,East,OFF-PA-10002749,"Office Supplies",Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203
201,CA-2017-105074,6/24/2017,6/29/2017,"Standard Class",MB-17305,"Maria Bertelson",Consumer,"United States",Akron,Ohio,44312,East,OFF-PA-10002666,"Office Supplies",Paper,"Southworth 25% Cotton Linen-Finish Paper & Envelopes",21.744,3,0.2,6.795
204,US-2017-116701,12/17/2017,12/21/2017,"Second Class",LC-17140,"Logan Currie",Consumer,"United States",Dallas,Texas,75220,Central,OFF-AP-10003217,"Office Supplies",Appliances,"Eureka Sanitaire  Commercial Upright",66.284,2,0.8,-178.9668
205,CA-2017-126382,6/3/2017,6/7/2017,"Standard Class",HK-14890,"Heather Kirkland",Corporate,"United States",Franklin,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
206,CA-2017-108329,12/9/2017,12/14/2017,"Standard Class",LE-16810,"Laurel Elliston",Consumer,"United States",Whittier,California,90604,West,TEC-PH-10001918,Technology,Phones,"Nortel Business Series Terminal T7208 Digital phone",444.768,4,0.2,44.4768
207,CA-2017-135860,12/1/2017,12/7/2017,"Standard Class",JH-15985,"Joseph Holt",Consumer,"United States",Saginaw,Michigan,48601,Central,OFF-ST-10000642,"Office Supplies",Storage,"Tennsco Lockers, Gray",83.92,4,0,5.8744
208,CA-2017-135860,12/1/2017,12/7/2017,"Standard Class",JH-15985,"Joseph Holt",Consumer,"United States",Saginaw,Michigan,48601,Central,TEC-PH-10001700,Technology,Phones,"Panasonic KX-TG6844B Expandable Digital Cordless Telephone",131.98,2,0,35.6346
209,CA-2017-135860,12/1/2017,12/7/2017,"Standard Class",JH-15985,"Joseph Holt",Consumer,"United States",Saginaw,Michigan,48601,Central,OFF-BI-10003274,"Office Supplies",Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824
210,CA-2017-135860,12/1/2017,12/7/2017,"Standard Class",JH-15985,"Joseph Holt",Consumer,"United States",Saginaw,Michigan,48601,Central,OFF-FA-10000134,"Office Supplies",Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,0,16.2099
211,CA-2017-135860,12/1/2017,12/7/2017,"Standard Class",JH-15985,"Joseph Holt",Consumer,"United States",Saginaw,Michigan,48601,Central,OFF-ST-10001522,"Office Supplies",Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0,3.6796
232,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,"Christopher Schild","Home Office","United States",Tampa,Florida,33614,South,FUR-TA-10001705,Furniture,Tables,"Bush Advantage Collection Round Conference Table",233.86,2,0.45,-102.048
233,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,"Christopher Schild","Home Office","United States",Tampa,Florida,33614,South,FUR-TA-10003473,Furniture,Tables,"Bretford Rectangular Conference Table Tops",620.6145,3,0.45,-248.2458
234,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,"Christopher Schild","Home Office","United States",Tampa,Florida,33614,South,OFF-BI-10001679,"Office Supplies",Binders,"GBC Instant Index System for Binding Systems",5.328,2,0.7,-3.552
235,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,"Christopher Schild","Home Office","United States",Tampa,Florida,33614,South,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39" x 49"""",258.072,3,0.2,0
236,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,"Christopher Schild","Home Office","United States",Tampa,Florida,33614,South,TEC-AC-10003832,Technology,Accessories,"Logitech P710e Mobile Speakerphone",617.976,3,0.2,-7.7247
237,CA-2017-160514,11/12/2017,11/16/2017,"Standard Class",DB-13120,"David Bremer",Corporate,"United States","Santa Clara",California,95051,West,OFF-PA-10002479,"Office Supplies",Paper,"Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)",10.56,2,0,4.752
