"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
1,CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,"Claire Gute",Consumer,"United States",Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,"Bush Somerset Collection Bookcase",261.96,2,0,41.9136
2,CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,"Claire Gute",Consumer,"United States",Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
4,US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,"Sean O'Donnell",Consumer,"United States","Fort Lauderdale",Florida,33311,South,FUR-TA-10000577,Furniture,Tables,"Bretford CR4500 Series Slim Rectangular Table",957.5775,5,0.45,-383.031
5,US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,"Sean O'Donnell",Consumer,"United States","Fort Lauderdale",Florida,33311,South,OFF-ST-10000760,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System",22.368,2,0.2,2.5164
13,CA-2017-114412,4/15/2017,4/20/2017,"Standard Class",AA-10480,"Andrew Allen",Consumer,"United States",Concord,"North Carolina",28027,South,OFF-PA-10002365,"Office Supplies",Paper,"Xerox 1967",15.552,3,0.2,5.4432
44,CA-2017-139619,9/19/2017,9/23/2017,"Standard Class",ES-14080,"Erin Smith",Corporate,"United States",Melbourne,Florida,32935,South,OFF-ST-10003282,"Office Supplies",Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
70,CA-2016-119823,6/4/2016,6/6/2016,"First Class",KD-16270,"Karen Daniels",Consumer,"United States",Springfield,Virginia,22153,South,OFF-PA-10000482,"Office Supplies",Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
73,US-2015-134026,4/26/2015,5/2/2015,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,"High-Back Leather Manager's Chair",831.936,8,0.2,-114.3912
74,US-2015-134026,4/26/2015,5/2/2015,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"""",97.04,2,0.2,1.213
75,US-2015-134026,4/26/2015,5/2/2015,"Standard Class",JE-15745,"Joel Eaton",Consumer,"United States",Memphis,Tennessee,38109,South,OFF-ST-10004123,"Office Supplies",Storage,"Safco Industrial Wire Shelving System",72.784,1,0.2,-18.196
80,CA-2016-127208,6/12/2016,6/15/2016,"First Class",SC-20770,"Stewart Carmichael",Corporate,"United States",Decatur,Alabama,35601,South,OFF-AP-10002118,"Office Supplies",Appliances,"1.7 Cubic Foot Compact "Cube"" Office Refrigerators"",208.16,1,0,56.2032
81,CA-2016-127208,6/12/2016,6/15/2016,"First Class",SC-20770,"Stewart Carmichael",Corporate,"United States",Decatur,Alabama,35601,South,OFF-BI-10002309,"Office Supplies",Binders,"Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,0,8.0352
84,CA-2015-149734,9/3/2015,9/8/2015,"Standard Class",JC-16105,"Julie Creighton",Corporate,"United States",Durham,"North Carolina",27707,South,OFF-EN-10000927,"Office Supplies",Envelopes,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.984,7,0.2,62.8075
86,CA-2017-140088,5/28/2017,5/30/2017,"Second Class",PO-18865,"Patrick O'Donnell",Consumer,"United States",Columbia,"South Carolina",29203,South,FUR-CH-10000863,Furniture,Chairs,"Novimex Swivel Fabric Task Chair",301.96,2,0,33.2156
107,CA-2017-119004,11/23/2017,11/28/2017,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,TEC-AC-10003499,Technology,Accessories,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.112,8,0.2,17.6016
108,CA-2017-119004,11/23/2017,11/28/2017,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,TEC-PH-10002844,Technology,Phones,"Speck Products Candyshell Flip Case",27.992,1,0.2,2.0994
109,CA-2017-119004,11/23/2017,11/28/2017,"Standard Class",JM-15250,"Janet Martin",Consumer,"United States",Charlotte,"North Carolina",28205,South,OFF-AR-10000390,"Office Supplies",Art,"Newell Chalk Holder",3.304,1,0.2,1.0738
119,US-2015-136476,4/5/2015,4/10/2015,"Standard Class",GG-14650,"Greg Guthrie",Corporate,"United States",Bristol,Tennessee,37620,South,OFF-BI-10003650,"Office Supplies",Binders,"GBC DocuBind 300 Electric Binding Machine",157.794,1,0.7,-115.7156
183,CA-2014-158274,11/19/2014,11/24/2014,"Second Class",RM-19675,"Robert Marley","Home Office","United States",Monroe,Louisiana,71203,South,TEC-PH-10003273,Technology,Phones,"AT&T TR1909W",503.96,4,0,131.0296
184,CA-2014-158274,11/19/2014,11/24/2014,"Second Class",RM-19675,"Robert Marley","Home Office","United States",Monroe,Louisiana,71203,South,TEC-PH-10004896,Technology,Phones,"Nokia Lumia 521 (T-Mobile)",149.95,5,0,41.986
185,CA-2014-158274,11/19/2014,11/24/2014,"Second Class",RM-19675,"Robert Marley","Home Office","United States",Monroe,Louisiana,71203,South,TEC-AC-10002345,Technology,Accessories,"HP Standard 104 key PS/2 Keyboard",29,2,0,7.25
205,CA-2017-126382,6/3/2017,6/7/2017,"Standard Class",HK-14890,"Heather Kirkland",Corporate,"United States",Franklin,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
229,US-2015-145436,2/28/2015,3/4/2015,"Standard Class",VD-21670,"Valerie Dominguez",Consumer,"United States",Columbia,Tennessee,38401,South,FUR-CH-10004860,Furniture,Chairs,"Global Low Back Tilter Chair",161.568,2,0.2,-28.2744
