"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit
28,US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,"Tracy Blumstein",Consumer,"United States",Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
166,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,"Becky Martin",Consumer,"United States","San Antonio",Texas,78207,Central,TEC-MA-10000822,Technology,Machines,"Lexmark MX611dhe Monochrome Laser Printer",8159.952,8,0.4,-1359.992
245,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,"Dianna Wilson","Home Office","United States",Lakeville,Minnesota,55044,Central,FUR-CH-10004063,Furniture,Chairs,"Global Deluxe High-Back Manager's Chair",2001.86,7,0,580.5394
252,CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,"Kelly Collister",Consumer,"United States","San Diego",California,92037,West,TEC-AC-10003832,Technology,Accessories,"Logitech P710e Mobile Speakerphone",3347.37,13,0,636.0003
263,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,"Sean Braxton",Corporate,"United States",Houston,Texas,77036,Central,TEC-MA-10000822,Technology,Machines,"Lexmark MX611dhe Monochrome Laser Printer",3059.982,3,0.4,-509.997
264,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,"Sean Braxton",Corporate,"United States",Houston,Texas,77036,Central,TEC-MA-10003353,Technology,Machines,"Xerox WorkCentre 6505DN Laser Multifunction Printer",2519.958,7,0.4,-251.9958
319,CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",NM-18445,"Nathan Mautz","Home Office","United States","New York City","New York",10024,East,TEC-MA-10002927,Technology,Machines,"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier",3991.98,2,0,1995.99
354,CA-2016-129714,9/1/2016,9/3/2016,"First Class",AB-10060,"Adam Bellavance","Home Office","United States","New York City","New York",10009,East,OFF-BI-10004995,"Office Supplies",Binders,"GBC DocuBind P400 Electric Binding System",4355.168,4,0.2,1415.4296
400,CA-2016-108987,9/8/2016,9/10/2016,"Second Class",AG-10675,"Anna Gayman",Consumer,"United States",Houston,Texas,77036,Central,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,4,0.32,-317.1528
488,CA-2014-154627,10/29/2014,10/31/2014,"First Class",SA-20830,"Sue Ann Reed",Consumer,"United States",Chicago,Illinois,60610,Central,TEC-PH-10001363,Technology,Phones,"Apple iPhone 5S",2735.952,6,0.2,341.994
510,CA-2015-145352,3/16/2015,3/22/2015,"Standard Class",CM-12385,"Christopher Martinez",Consumer,"United States",Atlanta,Georgia,30318,South,OFF-BI-10003527,"Office Supplies",Binders,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",6354.95,5,0,3177.475
516,CA-2017-127432,1/22/2017,1/27/2017,"Standard Class",AD-10180,"Alan Dominguez","Home Office","United States","Great Falls",Montana,59405,West,TEC-CO-10003236,Technology,Copiers,"Canon Image Class D660 Copier",2999.95,5,0,1379.977
684,US-2017-168116,11/4/2017,11/4/2017,"Same Day",GT-14635,"Grant Thornton",Corporate,"United States",Burlington,"North Carolina",27217,South,TEC-MA-10004125,Technology,Machines,"Cubify CubeX 3D Printer Triple Head Print",7999.98,4,0.5,-3839.9904
950,US-2017-110576,11/28/2017,12/2/2017,"Standard Class",RB-19795,"Ross Baird","Home Office","United States",Philadelphia,Pennsylvania,19120,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2065.32,12,0.4,-619.596
978,CA-2017-159366,1/7/2017,1/10/2017,"First Class",BW-11110,"Bart Watters",Corporate,"United States",Detroit,Michigan,48205,Central,TEC-MA-10000822,Technology,Machines,"Lexmark MX611dhe Monochrome Laser Printer",3059.982,2,0.1,679.996
995,CA-2014-117639,5/21/2014,5/25/2014,"Standard Class",MW-18235,"Mitch Willingham",Corporate,"United States","Virginia Beach",Virginia,23464,South,OFF-BI-10003925,"Office Supplies",Binders,"Fellowes PB300 Plastic Comb Binding Machine",2715.93,7,0,1276.4871
1002,CA-2015-124891,7/31/2015,7/31/2015,"Same Day",RH-19495,"Rick Hansen",Consumer,"United States","New York City","New York",10024,East,TEC-AC-10003033,Technology,Accessories,"Plantronics CS510 - Over-the-Head monaural Wireless Headset System",2309.65,7,0,762.1845
1086,US-2016-143819,3/1/2016,3/5/2016,"Standard Class",KD-16270,"Karen Daniels",Consumer,"United States",Yonkers,"New York",10701,East,TEC-MA-10003979,Technology,Machines,"Ativa V4110MDD Micro-Cut Shredder",4899.93,7,0,2400.9657
1156,CA-2014-136567,12/20/2014,12/21/2014,"First Class",PS-19045,"Penelope Sewall","Home Office","United States",Harrisonburg,Virginia,22801,South,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48" x 96"" Racetrack Double Pedestal Table"",2244.48,7,0,493.7856
1247,CA-2014-168494,12/12/2014,12/14/2014,"Second Class",NP-18700,"Nora Preis",Consumer,"United States",Fresno,California,93727,West,FUR-TA-10003473,Furniture,Tables,"Bretford Rectangular Conference Table Tops",3610.848,12,0.2,135.4068
